movie,actor,name,level,description
Raiders of the Lost Ark,Harrison Ford,Indiana Jones,main,archaeology professor and adventurer
Raiders of the Lost Ark,Karen Allen,Marion Ravenwood,main,"spirited, tough bar owner and Jones' former lover"
Raiders of the Lost Ark,Paul Freeman,René Belloq,main,"rival archaeologist to Jones, in the employ of the Nazis"
Raiders of the Lost Ark,Ronald Lacey,Major Arnold Toht,main,sadistic Gestapo agent
Raiders of the Lost Ark,John Rhys-Davies,Sallah,main,Egyptian excavator and old acquaintance of Jones
Raiders of the Lost Ark,Denholm Elliott,Marcus Brody,main,museum curator and Jones' loyal friend
Raiders of the Lost Ark,Wolf Kahler,Colonel Dietrich,supporting,Nazi officer
Raiders of the Lost Ark,Anthony Higgins,Major Gobler,supporting,Dietrich's right-hand man
Raiders of the Lost Ark,Don Fellows,Colonel Musgrove,supporting,United States Army Intelligence agent
Raiders of the Lost Ark,William Hootkins,Major Eaton,supporting,United States Army Intelligence agent
Raiders of the Lost Ark,George Harris,Simon Katanga,supporting,captain of the Bantu Wind tramp steamer
Raiders of the Lost Ark,Fred Sorenson,Jock,supporting,Jones' pilot
Raiders of the Lost Ark,Alfred Molina,Satipo,supporting,Jones' guide
Raiders of the Lost Ark,Frank Marshall,Flying Wing pilot,minor,
Raiders of the Lost Ark,Pat Roach,Nazi who brawls with Jones by the Flying Wing,minor,
Raiders of the Lost Ark,Pat Roach,one of Toht's Nepalese Sherpas,minor,
Raiders of the Lost Ark,Vic Tablian,Barranca,minor,Jones's treacherous Peruvian guide
Raiders of the Lost Ark,Vic Tablian,Monkey Man in Cairo,minor,
Raiders of the Lost Ark,Terry Richards,Cairo swordsman shot by Jones,minor,
Indiana Jones and the Temple of Doom,Harrison Ford,Indiana Jones,main,archaeologist adventurer
Indiana Jones and the Temple of Doom,Kate Capshaw,Willie Scott,main,American nightclub singer working in Shanghai
Indiana Jones and the Temple of Doom,Amrish Puri,Mola Ram,main,Thuggee priest who performs rites of human sacrifices
Indiana Jones and the Temple of Doom,Roshan Seth,Chattar Lal,main,Prime Minister of the Maharaja of Pankot
Indiana Jones and the Temple of Doom,Philip Stone,Captain Philip Blumburtt,main,British Indian Army Captain on a routine inspection tour of Pankot
Indiana Jones and the Temple of Doom,Jonathan Ke Quan,Short Round,main,Indy's 11-year-old Chinese sidekick
Indiana Jones and the Temple of Doom,Roy Chiao,Lao Che,supporting,Shanghai crime boss who hires Indy to recover the cremated ashes of one of his ancestors
Indiana Jones and the Temple of Doom,Ron Taylor,voice of Lao Che,supporting,Shanghai crime boss who hires Indy to recover the cremated ashes of one of his ancestors
Indiana Jones and the Temple of Doom,Chua Kah Joo,Chen,minor,one of Lao Che's two sons
Indiana Jones and the Temple of Doom,Ric Young,Kao Kan,minor,one of Lao Che's two sons
Indiana Jones and the Temple of Doom,David Yip,Wu Han,supporting,friend of Indy who is killed in Club Obi Wan
Indiana Jones and the Temple of Doom,Raj Singh,Zalim Singh,supporting,adolescent Maharajá of Pankot
Indiana Jones and the Temple of Doom,Katie Leigh,voice of Zalim Singh,supporting,adolescent Maharajá of Pankot
Indiana Jones and the Temple of Doom,D. R. Nanayakkara,Shaman,supporting,leader of a small village that recruits Indy to retrieve their stolen sacred Shiva lingam stone
Indiana Jones and the Temple of Doom,Pat Roach,Thuggee overseer in the mines,minor,
Indiana Jones and the Temple of Doom,Steven Spielberg,person at airport,minor,
Indiana Jones and the Temple of Doom,George Lucas,person at airport,minor,
Indiana Jones and the Temple of Doom,Frank Marshall,person at airport,minor,
Indiana Jones and the Temple of Doom,Kathleen Kennedy,person at airport,minor,
Indiana Jones and the Temple of Doom,Dan Aykroyd,person at airport,minor,
Indiana Jones and the Temple of Doom,Tress MacNeille,voice of first slave child in the prison scene,minor,
Indiana Jones and the Last Crusade,Harrison Ford,Indiana Jones,main,archaeologist professor and adventurer
Indiana Jones and the Last Crusade,River Phoenix,young Indiana Jones,supporting,
Indiana Jones and the Last Crusade,Sean Connery,"Henry Jones, Sr.",main,"Indiana's father, a professor of Medieval literature who cared more about looking for the Grail than raising his son"
Indiana Jones and the Last Crusade,Alex Hyde-White,"young Henry Jones, Sr.",minor,
Indiana Jones and the Last Crusade,Denholm Elliott,Marcus Brody,main,Indiana's bumbling English colleague
Indiana Jones and the Last Crusade,Alison Doody,Elsa Schneider,main,"Austrian art professor and Indy's love interest, who is in league with the Nazis"
Indiana Jones and the Last Crusade,John Rhys-Davies,Sallah,main,friend of Indiana and a professional excavator living in Cairo
Indiana Jones and the Last Crusade,Julian Glover,Walter Donovan,main,American businessman who sends the Joneses on their quest for the Holy Grail out of a desire for immortality while secretly working with the Nazis
Indiana Jones and the Last Crusade,Michael Byrne,Ernst Vogel,supporting,brutal SS colonel
Indiana Jones and the Last Crusade,Kevork Malikyan,Kazim,supporting,leader of the Brotherhood of the Cruciform Sword
Indiana Jones and the Last Crusade,Robert Eddison,Grail Knight,supporting,guardian of the Grail who drank from the cup of Christ during the Crusades and is immortal as long as he stays within the temple
Indiana Jones and the Last Crusade,Michael Sheard,Adolf Hitler,minor,a man Jones briefly encounters at the book-burning rally in Berlin
Indiana Jones and the Last Crusade,Ronald Lacey,Heinrich Himmler,minor,
Indiana Jones and the Last Crusade,Alexei Sayle,sultan of Hatay,minor,
Indiana Jones and the Last Crusade,Paul Maxwell,man with the Panama Hat,minor,a man who took possession of the Cross of Coronado
Indiana Jones and the Last Crusade,Pat Roach,Nazi who accompanies Vogel to the Zeppelin,minor,
Indiana Jones and the Last Crusade,Richard Young,"Garth / ""Fedora""",minor,leader of the tomb robbers who chased young Indiana Jones and then gives him his hat
Indiana Jones and the Last Crusade,Eugene Lipinski,G-Man,minor,mysterious agent
Indiana Jones and the Last Crusade,Vernon Dobtcheff,Butler,minor,
Dick Tracy,Warren Beatty,Dick Tracy,main,"square-jawed, fast-shooting, hard-hitting, and intelligent police detective sporting a yellow overcoat and fedora"
Dick Tracy,Al Pacino,"Alphonse ""Big Boy"" Caprice",main,leading crime boss of the city
Dick Tracy,Madonna,"Breathless ""The Blank"" Mahoney",main,entertainer at Club Ritz who wants to steal Tracy from his girlfriend
Dick Tracy,Glenne Headly,Tess Trueheart,main,Tracy's girlfriend
Dick Tracy,Charlie Korsmo,The Kid,main,scrawny street orphan who survives by eating out of garbage cans and is a protege of Steve the Tramp
Dick Tracy,James Keane,Pat Patton,supporting,Tracy's close associate and second-in-command
Dick Tracy,Seymour Cassel,Sam Catchem,supporting,Tracy's close associate and third-in-command
Dick Tracy,Michael J. Pollard,Bug Bailey,supporting,surveillance expert
Dick Tracy,Charles Durning,Chief Brandon,supporting,chief of police who supports Tracy's crusade
Dick Tracy,Dick Van Dyke,District Attorney John Fletcher,supporting,corrupt district attorney who refuses to prosecute Caprice as he is on Caprice's payroll
Dick Tracy,Frank Campanella,Judge Harper,supporting,
Dick Tracy,Kathy Bates,Stenographer,supporting,
Dick Tracy,Dustin Hoffman,Mumbles,supporting,Caprice's fast-talking henchman
Dick Tracy,William Forsythe,Flattop,supporting,"Caprice's top hitman with a square, flat cranium and matching haircut"
Dick Tracy,Ed O'Ross,Itchy,supporting,Caprice's other hitman
Dick Tracy,James Tolkan,Numbers,supporting,Caprice's accountant
Dick Tracy,Mandy Patinkin,88 Keys,supporting,piano player at Club Ritz who becomes The Blank's minion
Dick Tracy,R. G. Armstrong,Pruneface,supporting,deformed crime boss who becomes one of Caprice's minions
Dick Tracy,Henry Silva,Influence,supporting,Pruneface's sinister top gunman
Dick Tracy,Paul Sorvino,Lips Manlis,supporting,original owner of Club Ritz and Caprice's mentor
Dick Tracy,Chuck Hicks,The Brow,supporting,"criminal with a large, wrinkled forehead"
Dick Tracy,Neil Summers,Rodent,supporting,"criminal with a pointed nose, small eyes, and buck teeth"
Dick Tracy,Stig Eldred,Shoulders,supporting,criminal with broad shoulders
Dick Tracy,Lawrence Steven Meyers,Little Face,supporting,criminal with a big head and a small face
Dick Tracy,James Caan,Spud Spaldoni,supporting,crime boss who refuses to submit to Caprice
Dick Tracy,Catherine O'Hara,Texie Garcia,supporting,female criminal who submits to Caprice
Dick Tracy,Robert Beecher,Ribs Mocca,supporting,criminal who submits to Caprice
Dick Tracy,Rita Bland,one of Breathless Mahoney's dancers,minor,
Dick Tracy,Lada Boder,one of Breathless Mahoney's dancers,minor,
Dick Tracy,Dee Hengstler,one of Breathless Mahoney's dancers,minor,
Dick Tracy,Liz Imperio,one of Breathless Mahoney's dancers,minor,
Dick Tracy,Michelle Johnston,one of Breathless Mahoney's dancers,minor,
Dick Tracy,Karyne Ortega,one of Breathless Mahoney's dancers,minor,
Dick Tracy,Karen Russell,one of Breathless Mahoney's dancers,minor,
Dick Tracy,Lew Horn,Lefty Moriarty,minor,
Dick Tracy,Mike Hagerty,Doorman,minor,
Dick Tracy,Arthur Malet,Diner Patron,minor,
Dick Tracy,Bert Remsen,Bartender,minor,
Dick Tracy,Jack Kehoe,Customer at Raid,minor,
Dick Tracy,Michael Donovan O'Donnell,McGillicuddy,minor,
Dick Tracy,Tom Signorelli,Mike,minor,proprietor of the diner Tracy frequents
Dick Tracy,Jim Wilkey,Stooge,minor,
