release,movie,categories
02/08/1968,Planet of the Apes (1968),Planet of the Apes
05/26/1970,Beneath the Planet of the Apes,Planet of the Apes
05/21/1971,Escape from the Planet of the Apes,Planet of the Apes
06/30/1972,Conquest of the Planet of the Apes,Planet of the Apes
06/15/1973,Battle for the Planet of the Apes,Planet of the Apes
05/25/1979,Alien,Alien/Predator
03/21/1980,Mad Max,Dystopian/Time
12/05/1980,Flash Gordon,Fantasy/Sci-Fi
06/12/1981,Raiders of the Lost Ark,Swashbuckling/Pulp
05/14/1982,Conan the Barbarian (1982),Fantasy/Sci-Fi
05/21/1982,The Road Warrior,Dystopian/Time
05/23/1984,Indiana Jones and the Temple of Doom,Swashbuckling/Pulp
06/29/1984,Conan the Destroyer,Fantasy/Sci-Fi
10/26/1984,The Terminator,Dystopian/Time
07/03/1985,Back to the Future,Dystopian/Time
07/03/1985,Red Sonja,Fantasy/Sci-Fi
07/10/1985,Mad Max Beyond Thunderdome,Dystopian/Time
06/27/1986,Labyrinth,Fantasy/Sci-Fi
07/18/1986,Aliens,Alien/Predator
08/08/1986,The Transformers: The Movie,Hasbro
06/12/1987,Predator,Alien/Predator
07/17/1987,RoboCop (1987),Fantasy/Sci-Fi
05/20/1988,Willow,Fantasy/Sci-Fi
05/24/1989,Indiana Jones and the Last Crusade,Swashbuckling/Pulp
11/22/1989,Back to the Future Part II,Dystopian/Time
05/25/1990,Back to the Future Part III,Dystopian/Time
06/15/1990,Dick Tracy,Swashbuckling/Pulp
06/22/1990,RoboCop 2,Fantasy/Sci-Fi
08/24/1990,Darkman,"Fantasy/Sci-Fi,Swashbuckling/Pulp"
11/21/1990,Predator 2,Alien/Predator
06/21/1991,The Rocketeer,"Fantasy/Sci-Fi,Swashbuckling/Pulp"
07/03/1991,Terminator 2: Judgment Day,Dystopian/Time
05/22/1992,Alien 3,Alien/Predator
06/11/1993,Jurassic Park,Jurassic Park
11/05/1993,RoboCop 3,Fantasy/Sci-Fi
07/01/1994,The Shadow,"Fantasy/Sci-Fi,Swashbuckling/Pulp"
09/16/1994,Timecop,Fantasy/Sci-Fi
03/31/1995,Tank Girl,Fantasy/Sci-Fi
