Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
01/12/1990,Internal Affairs,"In L.A., an agent is determined to catch Dennis, a cop and father whose reputation is clean despite his use of officers as pawns for corrupt purposes.",Mike Figgis,"Richard Gere,
Andy García,
Nancy Travis","Brian Banks,
Mike Figgis,
Anthony Marinelli",
01/12/1990,Leatherface: The Texas Chainsaw Massacre III,A perverted gas station attendant threatens a couple with a shotgun. They take a deserted path to seek help but meet up with a cannibalistic clan.,Jeff Burr,"Kate Hodge,
William Butler,
Ken Foree","Jim Manzie,
Pat Regan",
01/19/1990,Tremors,"Natives of a small isolated town, Perfection, Nevada, defend themselves against strange underground creatures killing them one by one.",Ron Underwood,"Kevin Bacon,
Fred Ward,
Finn Carter",Ernest Troost,
02/02/1990,Cinema Paradiso,A filmmaker recalls his childhood in Sicily when falling in love with the cinema of his home village and forms a deep friendship with a projectionist.,Giuseppe Tornatore,"Philippe Noiret,
Salvatore Cascio,
Agnese Nano","Ennio Morricone,
Andrea Morricone",
02/02/1990,Heart Condition,A racist cop receives a heart transplant from a dead black lawyer who returns as a ghost to ask him to take down the men who murdered him.,James D. Parriott,"Bob Hoskins,
Denzel Washington,
Chloe Webb",Patrick Leonard,
02/09/1990,Hard to Kill,"Left for dead with his wife killed in their house, an L.A. detective awakens after seven years in a coma and works to expose the Senator to blame.",Bruce Malmuth,"Steven Seagal,
Kelly LeBrock,
William Sadler",David Michael Frank,
02/16/1990,Nightbreed,"A man is drawn to the mythical Midian, where friendly monsters are hiding from humanity. A sadistic serial killer is looking for a patsy.",Clive Barker,"Craig Sheffer,
Anne Bobby,
David Cronenberg",Danny Elfman,
02/16/1990,Revenge,"A retired Navy pilot comes to Mexico, where he falls in love with the wife of a powerful crime boss. The boss learns of an affair and seeks payback.",Tony Scott,"Kevin Costner,
Anthony Quinn,
Madeleine Stowe",Jack Nitzsche,
03/02/1990,The Hunt for Red October,"In 1984, a Soviet submarine captain in a stealthy new submarine violates orders and heads for the U.S. A CIA agent tries to determine his motives.",John McTiernan,"Sean Connery,
Alec Baldwin,
Scott Glenn",Basil Poledouris,Jack Ryan
03/09/1990,House Party,"After fighting with a bully, Kid sneaks out to attend Play's party. He crashes a college reunion, avoids three thugs, and nearly sleeps with pretty Sydney.",Reginald Hudlin,"Christopher Reid,
Christopher Martin,
Robin Harris","Lenny White,
Marcus Miller",
