Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
01/03/2020,The Grudge,"In 2004, after a mother kills her family in her own house, two detectives investigate but discover a vengeful ghost has started a curse that spreads.",Nicolas Pesce,"Andrea Riseborough,
Demián Bichir,
John Cho",The Newton Brothers,
01/10/2020,Les Misérables,"A good cop moves to Paris to join an anti-crime brigade, but witnesses tensions rise after the theft of a lion cub and a recorded flash-ball shooting.",Ladj Ly,"Damien Bonnard,
Alexis Manenti,
Djebril Zonga",Pink Noise,
01/10/2020,Like a Boss,"Two friends, one practical and one wanting more, start a cosmetics company. After a bad deal, they strive to take back control from an industry titan.",Miguel Arteta,"Tiffany Haddish,
Rose Byrne,
Salma Hayek","Christophe Beck,
Jake Monaco",
01/10/2020,Underwater,A crew of oceanic researchers working for a deep sea drilling company try to get to safety after an earthquake devastates their deepwater facility.,William Eubank,"Kristen Stewart,
Vincent Cassel,
Jessica Henwick","Marco Beltrami,
Brandon Roberts",
01/17/2020,A Fall from Grace,"Jasmine is given a new case by her boss Rory to defend Grace, who is accused of murdering her evil husband Shannon, who took money from her.",Tyler Perry,"Crystal Fox,
Phylicia Rashad,
Bresha Webb",Jay Weigel,
01/17/2020,Bad Boys for Life,"Miami detectives Mike and Marcus confront drug lords, a mother and son, with help from AMMO, a tech-driven squad led by Mike's ex-girlfriend Rita.",Adil & Bilall,"Will Smith,
Martin Lawrence,
Paola Núñez",Lorne Balfe,Bad Boys 3
01/17/2020,Dolittle,A reclusive Welsh physician who can speak with animals goes on an adventure to find a legendary island with a young apprentice and strange pets.,Stephen Gaghan,"Robert Downey Jr.,
Antonio Banderas,
Michael Sheen",Danny Elfman,
01/17/2020,Troop Zero,"In 1977 Georgia, misfit Christmas forms a troop of Birdie Scouts so their voices can be included on the Voyager Golden Record and heard by aliens.",Bert & Bertie,"Mckenna Grace,
Viola Davis,
Jim Gaffigan",Rob Lord,
01/24/2020,The Gentlemen,"An American tries to sell his profitable marijuana empire in London, setting off a chain of bribery and blackmail to steal his domain from under him.",Guy Ritchie,"Matthew McConaughey,
Charlie Hunnam,
Henry Golding",Christopher Benstead,
01/24/2020,The Last Full Measure,Pentagon staffer Scott is reluctantly tasked with investigating a Medal of Honor request for a man that died in 1966 sent by his parents and a friend.,Todd Robinson,"Sebastian Stan,
Christopher Plummer,
William Hurt",Philip Klein,
01/24/2020,The Turning,"In 1994, governess Kate, whose mother suffers from delusions, is hired to look after an orphaned seven-year-old girl, Flora, and her brother Miles.",Floria Sigismondi,"Mackenzie Davis,
Finn Wolfhard,
Brooklynn Prince",Nathan Barr,
01/31/2020,The Rhythm Section,"After the death of her family in a plane crash on a flight that she was meant to be on, Stephanie becomes an assassin to find those responsible.",Reed Morano,"Blake Lively,
Jude Law,
Sterling K. Brown",Steve Mazzaro,
02/07/2020,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"After splitting with the Joker, Harley Quinn meets Cassandra, who has thieved crime lord Roman's diamond. Dinah, Huntress, and Renee help them.",Cathy Yan,"Margot Robbie,
Mary Elizabeth Winstead,
Jurnee Smollett-Bell",Daniel Pemberton,
02/07/2020,Horse Girl,"Crafts store worker Sarah, whose mother died by suicide and who frequents a horse stable, begins dating Darren and worries about alien abductions.",Jeff Baena,"Alison Brie,
Debby Ryan,
John Reynolds","Josiah Steinbrick,
Jeremy Zuckerman",
02/07/2020,The Lodge,Soon-to-be stepmom Grace is snowed in with her fiancé's two children at a remote holiday village. Item disappearances and strange events happen.,"Veronika Franz,
Severin Fiala","Riley Keough,
Jaeden Martell,
Lia McHugh","Danny Bensi,
Saunder Jurriaans",
