Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
11/23/1923,The Ten Commandments,"After hearing the story of Moses, the two sons of a devout Christian mother go their separate ways. One brother, an atheist, breaks biblical principles.",Cecil B. DeMille,"Theodore Roberts,
Charles De Roche,
Estelle Taylor",N/A,
06/26/1925,The Gold Rush,"A lone prospector ventures into Alaska looking for gold. He gets mixed up with Big Jim and a wanted criminal. He falls in love with Georgia, a dancer.",Charlie Chaplin,"Charlie Chaplin,
Georgia Hale,
Mack Swain",N/A,
09/06/1925,The Phantom of the Opera,"At the Opera of Paris, a phantom forces a famous singer to give up her role for unknown Christine, who meets him in the catacombs where he lives.",Rupert Julian,"Lon Chaney,
Norman Kerry,
Mary Philbin",Gustav Hinrichs,
09/19/1926,The Strong Man,"During World War I, Belgian soldier Paul receives a letter and photo from Mary Brown. He travels to the U.S. to find her and somehow saves her town.",Frank Capra,"Harry Langdon,
Priscilla Bonner,
Gertrude Astor",N/A,
03/06/1927,Metropolis,"In a city divided by workers and city planners, the son of its mastermind falls for a poor prophet who predicts a mediator who can bring them together.",Fritz Lang,"Alfred Abel,
Brigitte Helm,
Gustav Fröhlich",Gottfried Huppertz,
03/26/1927,Long Pants,"After Harry wears new pants, he falls in love with Bebe, a cocaine smuggler. When she is in prison, he decides to save her. Old friend Priscilla waits.",Frank Capra,"Harry Langdon,
Gladys Brockwell,
Alan Roscoe",N/A,
07/31/1927,For the Love of Mike,"In Hell's Kitchen, a German delicatessen owner, a Jewish tailor, and an Irish street cleaner adopt a boy named Mike. In 20 years, he defies gamblers.",Frank Capra,"Ben Lyon,
Claudette Colbert,
George Sidney",N/A,
08/12/1927,Wings,"Two men are rivals from the same town. While a neighbor becomes an ambulance driver, the two become combat pilots fighting during World War I.",William A. Wellman,"Clara Bow,
Charles Rogers,
Richard Arlen",J.S. Zamecnik,
10/06/1927,The Jazz Singer,"The son of a Jewish cantor defies the traditions of his religious father as he runs away, changes his name, and dreams of becoming a talented singer.",Alan Crosland,"Al Jolson,
May McAvoy,
Warner Oland",Louis Silvers,
01/01/1928,That Certain Thing,"Molly Kelly marries restaurant fortune heir Andy, but his father is furious and disinherits them. Andy works digging ditches and later sells lunch boxes.",Frank Capra,"Viola Dana,
Ralph Graves,
Burr McIntosh",N/A,
02/06/1928,So This Is Love?,"Dress designer Jerry begins secretly training as a boxer to take on Spike and earn the affections of store clerk Hilda, who helps by overfeeding Spike.",Frank Capra,"Shirley Mason,
William Collier Jr.,
Johnnie Walker",N/A,
03/14/1928,The Matinee Idol,"Top blackface comedian Don anonymously joins an acting troupe and falls for its lead lady Ginger. Its Civil War melodrama is rough, but he signs it.",Frank Capra,"Bessie Love,
Johnnie Walker,
Ernest Hilliard",N/A,
07/13/1928,Say It with Sables,Doug Caswell falls in love with Irene Gordon. She is actually the mistress of his wealthy father John. Doug's stepmother Helen aims to put things right.,Frank Capra,"Francis X. Bushman,
Helene Chadwick,
Margaret Livingston",N/A,
08/28/1928,Submarine,"After Jack's wife Bessie leaves to meet his friend Bob, Jack feels betrayed until he feels compelled to rescue Bob in a sunken submarine as a diver.",Frank Capra,"Jack Holt,
Ralph Graves,
Dorothy Revier",David Broekman,
10/31/1928,The Power of the Press,"Naive newspaper reporter Clem gets a story after he is sent to cover a murder. His main suspect is politician's daughter Jane, who claims innocence.",Frank Capra,"Douglas Fairbanks Jr.,
Jobyna Ralston,
Mildred Harris",N/A,
02/01/1929,The Broadway Melody,"A pair of sisters from the vaudeville circuit work to make it big on Broadway, but one sister is courted by both a friend and a member of high society.",Harry Beaumont,"Charles King,
Anita Page,
Bessie Love","Nacio Herb Brown,
Arthur Freed",
03/04/1929,The Younger Generation,Child of Jewish immigrants Morris Goldfish finds success as an art dealer. He moves his people to Fifth Avenue. He thinks his family hurts his status.,Frank Capra,"Jean Hersholt,
Lina Basquette,
Ricardo Cortez",Mischa Bakaleinikoff,
04/11/1929,The Donovan Affair,"When lights go out at a party, Jack dies. Inspector Killian requests a re-enactment, but yet another person dies. A second re-enactment is requested.",Frank Capra,"Jack Holt,
Dorothy Revier,
William Collier Jr.",N/A,
05/23/1929,The Cocoanuts,"During the Florida land boom, the Marx Brothers run a hotel, auction off land, and prevent a jewel robbery, while a wealthy girl falls for an architect.","Robert Florey,
Joseph Santley","Groucho Marx,
Harpo Marx,
Chico Marx",Irving Berlin,
06/03/1929,Nosferatu: A Symphony of Horror,"In 1838 Germany, the evil vampire Count Orlok expresses interest in a new residence and real estate agent Thomas Hutter's young wife Ellen.",F. W. Murnau,"Max Schreck,
Gustav von Wangenheim,
Greta Schröder",Hans Erdmann,
09/13/1929,Flight,Former college football player Lefty and his flight school mentor Panama fall for the same beautiful nurse. The two Marines take on attacking bandits.,Frank Capra,"Jack Holt,
Ralph Graves,
Lila Lee",N/A,
02/21/1930,Anna Christie,"A 20-year-old woman reunites with her estranged father and falls in love with a sailor, but hesitates to tell them about her shameful past at a brothel.",Clarence Brown,"Greta Garbo,
Charles Bickford,
George F. Marion",N/A,
04/05/1930,Ladies of Leisure,"Aspiring artist and tycoon's son Jerry hires Kay, a party girl with a poor past, as a model, but Jerry's parents bring objections and push her to depart.",Frank Capra,"Barbara Stanwyck,
Ralph Graves,
Lowell Sherman",Mischa Bakaleinikoff,
04/21/1930,All Quiet on the Western Front,"German schoolboys, talked into enlisting in World War I by their teacher, find their enthusiasm wane as they get firsthand views of the tragedy of war.",Lewis Milestone,"Lew Ayres,
Louis Wolheim,
John Wray",David Broekman,
08/07/1930,Rain or Shine,"Mary inherits the struggling Rainey Circus and is aided endlessly by manager Smiley. After workers stage a strike, Smiley performs a one-man circus.",Frank Capra,"Joe Cook,
Louise Fazenda,
Joan Peers",N/A,
08/26/1930,Romance,"An Italian opera star kept by a rich older man falls in love with a young clergyman, but their different social class makes engagement untenable.",Clarence Brown,"Greta Garbo,
Lewis Stone,
Gavin Gordon",William Axt,
09/06/1930,Animal Crackers,"On Long Island, mayhem ensues when a painting goes missing during a party for African explorer Captain Spaulding. People create perfect copies.",Victor Heerman,"Groucho Marx,
Harpo Marx,
Chico Marx","Bert Kalmar,
Harry Ruby",
01/26/1931,Cimarron,"In 1889, a land rush pushes a newspaper editor and his young bride to move to Oklahoma. They hope to set up a ranch, but their plans are foiled.",Wesley Ruggles,"Richard Dix,
Irene Dunne,
Estelle Taylor",Max Steiner,
02/14/1931,Dracula,"After a real estate agent succumbs to the will of a vampire, the two head to London where the count sleeps by day and searches for victims by night.",Tod Browning,"Bela Lugosi,
David Manners,
Helen Chandler",N/A,
04/04/1931,Dirigible,"Commander Jack and Navy pilot Frisky fight over the glory associated with reaching the South Pole and the love of Helen, Frisky's letter-writing wife.",Frank Capra,"Jack Holt,
Ralph Graves,
Fay Wray",N/A,
04/23/1931,The Public Enemy,Two young Chicago hoodlums rise from poverty to become petty thieves and cold-blooded killers. One tries to remain connected to his family.,William A. Wellman,"James Cagney,
Jean Harlow,
Edward Woods",N/A,
07/17/1931,The Miracle Woman,"After an unappreciated minister dies, his daughter Florence loses her faith in God and opens a fake temple with a con man. She meets a blind aviator.",Frank Capra,"Barbara Stanwyck,
David Manners,
Sam Hardy",N/A,
09/19/1931,Monkey Business,"On a transatlantic crossing, the stowaway Marx Brothers get up to antics avoiding naval officers, stealing passports, and irritating almost everyone.",Norman Z. McLeod,"Groucho Marx,
Harpo Marx,
Chico Marx",John Leipold,
10/31/1931,Platinum Blonde,"A journalist marries a socialite family's daughter, but each thinks the other's lifestyle must change. Stressed by change, he falls for his best friend.",Frank Capra,"Loretta Young,
Robert Williams,
Jean Harlow",N/A,
11/21/1931,Frankenstein,"Mad scientist Henry and his hunchback assistant Fritz create a human monster out of lifeless body parts. It starts innocent and naive, but it escapes.",James Whale,"Colin Clive,
Mae Clarke,
Boris Karloff",Bernhard Kaun,
12/31/1931,Dr. Jekyll and Mr. Hyde,"In London, Henry, who loves his fiancé, imbibes a potion that transforms him into a violent man who abuses a bar singer. He switches back and forth.",Rouben Mamoulian,"Fredric March,
Miriam Hopkins,
Rose Hobart",Hermand Hand,
01/09/1932,Forbidden,"During a cruise to Havana, librarian Lulu falls for married lawyer Bob. As he grows as a politician, she becomes pregnant and works for reporter Al.",Frank Capra,"Barbara Stanwyck,
David Manners,
Sam Hardy",N/A,
04/09/1932,Scarface,"In 1920s Chicago, an ambitious and violent Italian gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",Howard Hawks,"Paul Muni,
Ann Dvorak,
Osgood Perkins","Adolf Tandler,
Gus Arnheim",
08/04/1932,American Madness,"Banker Tom is troubled after three gangsters steal from his bank, gossip creates a bank run, and his wife might be having an affair with his top cashier.",Frank Capra,"Walter Huston,
Pat O'Brien,
Kay Johnson","Mischa Bakaleinikoff,
Karl Hajos",
08/10/1932,Horse Feathers,The new president of Huxley College accidentally hires bumblers Baravelli and Pinky to help his school win a football game against rival Darwin.,Norman Z. McLeod,"Groucho Marx,
Harpo Marx,
Chico Marx",John Leipold,
12/22/1932,The Mummy,An ancient Egyptian priest is revived when an archaeologist on an expedition finds his mummy and accidentally reads an ancient life-giving spell.,Karl Freund,"Boris Karloff,
Zita Johann,
David Manners",James Dietrich,
01/06/1933,The Bitter Tea of General Yen,"In 1920s Shanghai, missionary Megan is rescued by a Chinese warlord who takes her to his palace. The two fall in love as his concubine betrays him.",Frank Capra,"Barbara Stanwyck,
Nils Asther,
Walter Connolly",W. Frank Harling,
