Name,Movies,Awards,Notes
Aaron Sorkin,"Molly's Game (2017), The Trial of the Chicago 7 (2020)",,
Adam McKay,"Anchorman: The Legend of Ron Burgundy (2004), Talladega Nights: The Ballad of Ricky Bobby (2006), Step Brothers (2008), The Other Guys (2010), Anchorman 2: The Legend Continues (2013), The Big Short (2015), Vice (2018), Don't Look Up (2021)","The Big Short (2015), Vice (2018)",
Akira Kurosawa,"Rashomon (1951), Ikiru (1956), Seven Samurai (1956), The Hidden Fortress (1960), Yojimbo (1961), Sanjuro (1963), Stray Dog (1963), High and Low (1963), Dodes'ka-den (1974), Dersu Uzala (1977), Kagemusha (1980), Ran (1985), Rhapsody in August (1991)",Ran (1985),
Alejandro G. Iñárritu,"21 Grams (2003), Babel (2006), Birdman or (The Unexpected Virtue of Ignorance) (2014), The Revenant (2015)","Babel (2006), Birdman or (The Unexpected Virtue of Ignorance) (2014), The Revenant (2015)",
Alexander Payne,"Election (1999), About Schmidt (2002), Sideways (2004), The Descendants (2011), Nebraska (2013), Downsizing (2017)","Sideways (2004), The Descendants (2011), Nebraska (2013)",
Alfonso Cuarón,"A Little Princess (1995), Great Expectations (1998), Y tu mamá también (2002), Harry Potter and the Prisoner of Azkaban (2004), Children of Men (2006), Gravity (2013), Roma (2018)","Gravity (2013), Roma (2018)",
Alfred Hitchcock,"The 39 Steps (1935), Secret Agent (1936), The Lady Vanishes (1938), Rebecca (1940), Foreign Correspondent (1940), Suspicion (1941), Saboteur (1942), Shadow of a Doubt (1943), Lifeboat (1944), Spellbound (1945), Notorious (1946), The Paradine Case (1947), Rope (1948), Stage Fright (1950), Strangers on a Train (1951), Rear Window (1954), To Catch a Thief (1955), The Trouble with Harry (1955), The Man Who Knew Too Much (1956), The Wrong Man (1956), Vertigo (1958), North by Northwest (1959), Psycho (1960), The Birds (1963), Marnie (1964), Torn Curtain (1966), Frenzy (1972), Family Plot (1976)","Rebecca (1940), Lifeboat (1944), Spellbound (1945), Rear Window (1954), Psycho (1960)",
Amy Heckerling,"Fast Times at Ridgemont High (1982), Johnny Dangerously (1984), National Lampoon's European Vacation (1985), Look Who's Talking (1989), Look Who's Talking Too (1990), Clueless (1995)",,
Andy Serkis,"Mowgli: Legend of the Jungle (2018), Venom: Let There Be Carnage (2021)",,
Ang Lee,"Sense and Sensibility (1995), The Ice Storm (1997), Ride with the Devil (1999), Crouching Tiger, Hidden Dragon (2000), Hulk (2003), Brokeback Mountain (2005), Life of Pi (2012), Billy Lynn's Long Halftime Walk (2016), Gemini Man (2019)","Crouching Tiger, Hidden Dragon (2000), Brokeback Mountain (2005), Life of Pi (2012)",
Angelina Jolie,"In the Land of Blood and Honey (2011), Unbroken (2014), By the Sea (2015), First They Killed My Father (2017)",,
Anthony Russo,"You, Me and Dupree (2006), Captain America: The Winter Soldier (2014), Captain America: Civil War (2016), Avengers: Infinity War (2018), Avengers: Endgame (2019), Cherry (2021)",,
Antoine Fuqua,"Training Day (2001), Tears of the Sun (2003), King Arthur (2004), Shooter (2007), Olympus Has Fallen (2013), The Equalizer (2014), Southpaw (2015), The Magnificent Seven (2016), The Equalizer 2 (2018), The Guilty (2021)",,
Ava DuVernay,"I Will Follow (2011), Selma (2014), 13th (2016), A Wrinkle in Time (2018)",,
Barbra Streisand,"Yentl (1983), The Prince of Tides (1991), The Mirror Has Two Faces (1996)",,
Barry Jenkins,"Moonlight (2016), If Beale Street Could Talk (2018)",Moonlight (2016),
Barry Levinson,"The Natural (1984), Young Sherlock Holmes (1985), Good Morning, Vietnam (1987), Rain Man (1988), Bugsy (1991), Toys (1992), Disclosure (1994), Sleepers (1996), Wag the Dog (1997), Sphere (1998), Bandits (2001), Envy (2004), Man of the Year (2006), Rock the Kasbah (2015)","Rain Man (1988), Bugsy (1991)",
Ben Affleck,"Gone Baby Gone (2007), The Town (2010), Argo (2012), Live by Night (2016)",,
Ben Stiller,"Reality Bites (1994), The Cable Guy (1996), Zoolander (2001), Tropic Thunder (2008), The Secret Life of Walter Mitty (2013), Zoolander 2 (2016)",,
Bennett Miller,"Capote (2005), Moneyball (2011), Foxcatcher (2014)","Capote (2005), Foxcatcher (2014)",
