Name,Lead,Supporting,Notes
Abigail Breslin,,Little Miss Sunshine (2006),
Adam Driver,Marriage Story (2019),BlacKkKlansman (2018),
Adriana Barraza,,Babel (2006),
Adrien Brody,The Pianist (2002),,
Al Pacino,"Serpico (1973), The Godfather Part II (1974), Dog Day Afternoon (1975), ...And Justice for All. (1979), Scent of a Woman (1992)","The Godfather (1972), Dick Tracy (1990), Glengarry Glen Ross (1992), The Irishman (2019)",
Alan Alda,,The Aviator (2004),
Alan Arkin,"The Russians Are Coming, the Russians Are Coming (1966), The Heart Is a Lonely Hunter (1968)","Little Miss Sunshine (2006), Argo (2012)",
Albert Brooks,,Broadcast News (1987),
Albert Finney,"Tom Jones (1963), Murder on the Orient Express (1974), The Dresser (1983), Under the Volcano (1984)",Erin Brockovich (2000),
Alec Baldwin,,The Cooler (2003),
Alec Guinness,"The Lavender Hill Mob (1952), The Bridge on the River Kwai (1957)","Star Wars (1977), Little Dorrit (1988)",
Alicia Vikander,,The Danish Girl (2015),
Allison Janney,,"I, Tonya (2017)",
Amanda Seyfried,,Mank (2020),
Amy Adams,American Hustle (2013),"Junebug (2005), Doubt (2008), The Fighter (2010), The Master (2012), Vice (2018)",
Amy Ryan,,Gone Baby Gone (2007),
Andra Day,The United States vs. Billie Holiday (2021),,
Andrew Garfield,"Hacksaw Ridge (2016), Tick, Tick... Boom! (2021)",,
Andy García,,The Godfather Part III (1990),
Angela Bassett,What's Love Got to Do with It (1993),,
Angela Lansbury,,"Gaslight (1944), The Picture of Dorian Gray (1945), The Manchurian Candidate (1962)",
Angelina Jolie,Changeling (2008),"Girl, Interrupted (1999)",
Anjelica Huston,The Grifters (1990),"Prizzi’s Honor (1985), Enemies, A Love Story (1989)",
Ann Sothern,,The Whales of August (1987),
Anna Kendrick,,Up in the Air (2009),
Anna Paquin,,The Piano (1993),
Anne Archer,,Fatal Attraction (1987),
Anne Hathaway,Rachel Getting Married (2008),Les Misérables (2012),
Anne Ramsey,,Throw Momma from the Train (1987),
Annette Bening,"American Beauty (1999), Being Julia (2004), The Kids Are All Right (2010)",The Grifters (1990),
Anthony Hopkins,"The Silence of the Lambs (1991), The Remains of the Day (1993), Nixon (1995), The Father (2021)","Amistad (1997), The Two Popes (2019)",
Anthony Perkins,,Friendly Persuasion (1956),
Antonio Banderas,Pain and Glory (2019),,
Ariana DeBose,,West Side Story (2021),
Armin Mueller-Stahl,,Shine (1996),
Audrey Hepburn,"Roman Holiday (1953), Sabrina (1954), The Nun's Story (1959), Breakfast at Tiffany's (1961), Wait Until Dark (1967)",,
Aunjanue Ellis,,King Richard (2021),
Barbara Hershey,,The Portrait of a Lady (1996),
Barbra Streisand,"Funny Girl (1968), The Way We Were (1973)",,
Barkhad Abdi,,Captain Phillips (2013),
Ben Kingsley,"Gandhi (1982), House of Sand and Fog (2003)","Bugsy (1991), Sexy Beast (2001)",
Benedict Cumberbatch,"The Imitation Game (2014), The Power of the Dog (2021)",,
Benicio del Toro,,"Traffic (2000), 21 Grams (2003)",
Bérénice Bejo,,The Artist (2011),
Bette Davis,"Dangerous (1935), Jezebel (1938), Dark Victory (1939), The Letter (1940), The Little Foxes (1941), Now, Voyager (1942), Mr. Skeffington (1944), All About Eve (1950), The Star (1952), What Ever Happened to Baby Jane? (1962)",,
Bette Midler,"The Rose (1979), For the Boys (1991)",,
Bill Murray,Lost in Translation (2003),,
Billy Bob Thornton,Sling Blade (1996),A Simple Plan (1998),
Brad Dourif,,One Flew Over the Cuckoo’s Nest (1975),
Brad Pitt,"The Curious Case of Benjamin Button (2008), Moneyball (2011)","12 Monkeys (1995), Once Upon a Time in Hollywood (2019)",
Bradley Cooper,"Silver Linings Playbook (2012), American Sniper (2014), A Star Is Born (2018)",American Hustle (2013),
Brenda Blethyn,Secrets & Lies (1996),Little Voice (1998),
Brenda Fricker,,My Left Foot: The Story of Christy Brown (1989),
Brie Larson,Room (2015),,
Bruce Davison,Longtime Companion (1990),,
Bruce Dern,Nebraska (2013),Coming Home (1978),
Bryan Cranston,Trumbo (2015),,
Burgess Meredith,,"The Day of the Locust (1975), Rocky (1976)",
Burt Reynolds,,Boogie Nights (1997),
Burt Young,,Rocky (1976),
Carey Mulligan,"An Education (2009), Promising Young Woman (2020)",,
Cary Grant,"Penny Serenade (1941), None but the Lonely Heart (1944)",,
Casey Affleck,Manchester by the Sea (2016),The Assassination of Jesse James by the Coward Robert Ford (2007),
Catalina Sandino Moreno,Maria Full of Grace (2004),,
Cate Blanchett,"Elizabeth (1998), Elizabeth: The Golden Age (2007), Blue Jasmine (2013), Carol (2015)","The Aviator (2004), Notes on a Scandal (2006), I'm Not There (2007)",
Catherine Deneuve,Indochine (1992),,
Catherine Keener,,"Being John Malkovich (1999), Capote (2005)",
Catherine Zeta-Jones,,Chicago (2002),
Chadwick Boseman,Ma Rainey's Black Bottom (2020),,
Charlize Theron,"Monster (2003), North Country (2005), Bombshell (2019)",,
Charlotte Rampling,45 Years (2015),,
Charlton Heston,Ben-Hur (1959),,
Chazz Palminteri,,Bullets over Broadway (1994),
Cher,Moonstruck (1987),Silkwood (1983),
Chiwetel Ejiofor,12 Years a Slave (2013),,
Chloë Sevigny,,Boys Don't Cry (1999),
Chris Cooper,,Adaptation (2002),
Christian Bale,"American Hustle (2013), Vice (2018)","The Fighter (2010), The Big Short (2015)",
Christoph Waltz,,"Inglourious Basterds (2009), Django Unchained (2012)",
Christopher Plummer,,"The Last Station (2009), Beginners (2011), All the Money in the World (2017)",
