name,homeworld,species,actor
2-1B,,2-1B-series medical droid,Denny Delk (voice)
4-LOM,,LOM-series protocol droid,Chris Parsons
8D8,,8D-series smelter droid,
Aayla Secura,Ryloth,Twi'lek (Rutian),"Amy Allen, Jennifer Hale (voice in IX)"
Achk Med-Beq,,Human,Ahmed Best
Adi Gallia,Coruscant,Tholothian,"Gin Clarke, Angelique Perrin (voice in IX)"
Aftab Ackbar,Mon Cala,Mon Calamari,"Tom Wilton, Chris Terrio (voice)"
Ahsoka Tano,Shili,Togruta,Ashley Eckstein (voice)
Aks Moe,Malastare,Gran,"Mark Coulier, Marc Silk (voice)"
Amilyn Holdo,Gatalenta,Human,Laura Dern
Anakin Skywalker / Darth Vader,Tatooine,Human,"David Prowse, James Earl Jones (voice), Sebastian Shaw (VI), Jake Lloyd (I), Hayden Christensen, Matt Lanter (voice in TCW), Spencer Wilding (RO), Daniel Naprous (RO)"
Antidar Williams,,Human,Silas Carson
Antoc Merrick,Virujansi,Human,Ben Daniels
Arleil Schous,,Defel,
Armitage Hux,Arkanis,Human,Domhnall Gleeson
Arvel Crynyd,,Human,Hilton McRae
Asajj Ventress,Dathomir,Zabrak (Dathomirian),Nika Futterman (voice)
Ask Aak,Malastare,Gran,"Steven Boyle (II), Paul Spence (III)"
Aurodia Ventafoli,,Human,"Sema-Tawi Smart, Baraka May (voice)"
Aurra Sing,Nar Shaddaa,Palliduvan,Michonne Bourriague
Babu Frik,Kijimi,Anzellan,Shirley Henderson (voice)
Bail Prestor Organa,Alderaan,Human (Alderaanian),Jimmy Smits
Bala-Tik,,Human,Brian Vernel
Baniss Keeg,,Duros,Jon Berg
Barriss Offee,Mirial,Mirialan,Nalini Krishan
Baze Malbus,Jedha,Human,Jiang Wen
Bazine Netal,Chaaktil,Human,Anna Brewster
BB-8,Hosnian Prime,BB-series astromech droid,"Dave Chapman, Brian Herring"
Beaumont Kin,Lerct,Human,Dominic Monaghan
Bellava Parnadee,,Human,Tanya Moodie
Ben Quadinaros,Tund,Toong,
Ben Solo / Kylo Ren,Chandrila,Human (Chandrilan),Adam Driver
"Benthic ""Two Tubes""",Yar Togna,Tognath,Aidan Cook
Beru Whitesun Lars,Tatooine,Human,"Shelagh Fraser (IV), Bonnie Maree Piesse (II, III)"
Bewil,,Human,Milton Johns
Bib Fortuna,Ryloth,Twi'lek,"Michael Carter (VI), Erik Bauersfeld (voice in VI), Matthew Wood (I)"
Biggs Darklighter,Tatooine,Human,Garrick Hagon
Bistan,Iakar,Iakaru,Nick Kellington
Blanaid,,Human,Robert Watts
Boba Fett,Kamino,Human (clone),"Mark Austin (IV - special), Jeremy Bulloch (V, VI), John Morton (V), Jason Wingreen (voice in V), Temuera Morrison (voice in V - rerelease), Don Bies (VI - special), Daniel Logan (II)"
Bodhi Rook,Jedha,Human,Riz Ahmed
Boga,Utapau,Varactyl,
Boles Roor,Sneeve,Sneevel,
Bollie Prindel,,Urodel,Ian Whyte
Bom Vindin,Riflor,Advozse,
Boolio,Sinta IV,Ovissian,"Aidan Cook, Mark Hamill (voice)"
BoShek,Corellia,Human (Corellian),Basil Tomlin
Bossk'wassak'Cradossk,Trandosha,Trandoshan,Alan Harris
Braconnor Bakiska,,Stennes Shifter,
Brea Tonnika,,,Christine Hewett
Breha Organa,Alderaan,Human (Alderaanian),Rebecca Jackson Mendoza
Bren Derlin,Tiisheraan,Human,John Ratzenberger
C-3PO,Tatooine,3PO-series protocol droid,Anthony Daniels
C'ai Threnalli,Abednedo,Abednedo,Paul Kasey
Cabbel,,Human,Oliver Maguire
Caluan Ematt,,Human,Andrew Jack
Carlist Rieekan,Alderaan,Human (Alderaanian),Bruce Boa
Cassian Jeron Andor,Fest,Human,Diego Luna
Cassio Tagge,Tepasi,Human,Don Henderson
CC-1004 / Gree,Kamino,Human (clone),Temuera Morrison (voice)
CC-2224 / Cody,Kamino,Human (clone),"Temuera Morrison (III), Dee Bradley Baker (voice in TCW)"
CC-5052 / Bly,Kamino,Human (clone),
Chewbacca,Kashyyyk,Wookiee,"Peter Mayhew, Joonas Suotamo"
Chi Eekway Papanoida,Pantora,Pantoran,Katie Lucas
Chirpa,Endor,Ewok,Jane Busby
